"学校","专业/专业类","最低分","平均分","最高分","位次","2026计划","建议","专家分","匹配方向","风险提示","交流记录"
"哈尔滨工业大学","工科试验班（未来技术拔尖班）","679","680.3","682","缺失","缺失","极高冲刺","82","未来技术/强工科/哈工大本部","大类分流/专业清待核",""
"西安交通大学","人工智能（新工科卓越计划）","678","680","682","536","4","极高冲刺","107","计算机/软件/AI/数据/网安","",""
"西安交通大学","具身智能","678","680","682","536","9","极高冲刺","107","计算机/软件/AI/数据/网安","",""
"西安交通大学","自动化","667","669","678","1103","44","高风险冲刺","111","自动化/机器人/智能制造/测控","",""
"西安交通大学","网络空间安全","666","668","673","1165","13","高风险冲刺","114","计算机/软件/AI/数据/网安","",""
"西安交通大学","工科试验班（计算机科学技术类）","666","668","673","1165","27","高风险冲刺","111","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"西安交通大学","微电子科学与工程","665","666","673","1240","48","高风险冲刺","113","电子信息/通信/集成电路","",""
"西安交通大学","信息工程","662","663","667","1456","44","高优先","117","电子信息/通信/集成电路","",""
"东南大学","计算机类","662","缺失","缺失","1543","缺失","高优先","88","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"东南大学","工科试验班（智能制造与智能系统）","662","缺失","缺失","1543","缺失","高优先","85","自动化/机器人/智能制造/测控","大类分流/专业清待核",""
"武汉大学","计算机类（国家网络安全学院）","661","缺失","缺失","1625","缺失","高优先","85","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"西安交通大学","软件工程","660","662","666","1626","27","高优先","118","计算机/软件/AI/数据/网安","",""
"西安交通大学","工科试验班（智能感知与仪器）","660","661","663","1626","6","高优先","110","自动化/机器人/智能制造/测控","大类分流/专业清待核；近视度数不宜就读待核",""
"华中科技大学","光电信息科学与工程","660","缺失","缺失","1704","缺失","高优先","90","电子信息/通信/集成电路","",""
"武汉大学","工科试验班（电气类）","660","缺失","缺失","1704","缺失","优先","76","能源/电气","大类分流/专业清待核",""
"电子科技大学","电子信息类（信息与通信）","659","缺失","缺失","1793","缺失","高优先","87","电子信息/通信/集成电路","大类分流/专业清待核",""
"北京邮电大学","电子信息类（元班）","659","缺失","缺失","1793","缺失","优先","78","电子信息/通信/集成电路","大类分流/专业清待核",""
"武汉大学","微电子科学与工程（集成电路学院）","658","缺失","缺失","1873","缺失","高优先","90","电子信息/通信/集成电路","",""
"电子科技大学","工科试验班（电子工程类）","658","缺失","缺失","缺失","缺失","高优先","87","电子信息/通信/集成电路","大类分流/专业清待核",""
"武汉大学","电子信息类（电子信息学院）","658","缺失","缺失","1873","缺失","高优先","87","电子信息/通信/集成电路","大类分流/专业清待核",""
"华中科技大学","机械类","658","缺失","缺失","1873","缺失","高优先","86","自动化/机器人/智能制造/测控","大类分流/专业清待核；近视度数不宜就读待核",""
"北京邮电大学","计算机类（元班）","656","缺失","缺失","缺失","缺失","优先","79","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"西安交通大学","工科试验班（智能过程与装备国卓班）","655","657","660","缺失","4","高优先","111","自动化/机器人/智能制造/测控","大类分流/专业清待核",""
"电子科技大学","集成电路设计与集成系统","655","缺失","缺失","缺失","缺失","高优先","90","电子信息/通信/集成电路","",""
"华中科技大学","航空航天类","655","缺失","缺失","2144","缺失","高优先","82","低空/航空航天/无人系统","大类分流/专业清待核",""
"西安交通大学","工科试验班（智慧能源领军班）","653","658","673","2246","195","高优先","112","能源/电气","大类分流/专业清待核",""
"西安交通大学","工科试验班（智慧能源国卓班）","653","658","673","2246","7","高优先","112","能源/电气","大类分流/专业清待核",""
"电子科技大学","计算机类","653","缺失","缺失","缺失","缺失","高优先","91","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"西北工业大学","计算机类（计算机，含智能交互设计）","652","缺失","缺失","2447","缺失","高优先","96","计算机/软件/AI/数据/网安","大类分流/专业清待核",""
"天津大学","工科试验班（未来技术学院）","652","缺失","缺失","2447","缺失","高优先","84","自动化/机器人/智能制造/测控","大类分流/专业清待核",""
"电子科技大学","工科试验班（机器人、电气信息、智能制造）","651","缺失","缺失","缺失","缺失","高优先","90","电子信息/通信/集成电路","大类分流/专业清待核",""
"西北工业大学","航空航天类（航空）","651","缺失","缺失","2550","缺失","高优先","87","低空/航空航天/无人系统","大类分流/专业清待核",""
"哈尔滨工业大学（威海）","工科试验班（机器人与智能装备拔尖班）","650","缺失","缺失","2629","缺失","高优先","106","自动化/机器人/智能制造/测控","大类分流/专业清待核",""
